Store,2024,Store_ID,Store_Status,Postal_Code,City,GPS_Coordinates,Poststed,Region_Code,Region_Name,Municipality_Code,Municipality_Name,PostnummerKategoriKode,PostnummerKategori,Latitude,Longitude
raholt,248859.758,470,Open,2070,Råholt,60.2811161;11.1742052,RÅHOLT,02,AKERSHUS,0237,EIDSVOLL,G,Gateadresser og stedsadresser,60.2809940,11.1750110
skedsmokorset,344755.739,472,Open,2020,Skedsmokorset,60.000991;11.0397496,SKEDSMOKORSET,02,AKERSHUS,0231,SKEDSMO,G,Gateadresser og stedsadresser,60.0045430,11.0329200
ski,520619.059,289,Open,1400,Ski,59.7164197;10.8360662,SKI,02,AKERSHUS,0213,SKI,G,Gateadresser og stedsadresser,59.7152140,10.8381840
slemmestad,391234.037,173,Open,3470,Slemmestad,59.7782498;10.4846048,SLEMMESTAD,06,BUSKERUD,0627,RØYKEN,G,Gateadresser og stedsadresser,59.7804000,10.4988000
son,138786.997,462,Open,1555,Son,59.52579;10.689055,SON,02,AKERSHUS,0211,VESTBY,G,Gateadresser og stedsadresser,59.5235070,10.6854810
strommen,506699.71700000006,291,Open,2010,Strømmen,59.947564;11.007335,STRØMMEN,02,AKERSHUS,0231,SKEDSMO,G,Gateadresser og stedsadresser,59.9481340,11.0047820
satre,161962.61699999997,112,Open,3475,Sætre,59.6815398;10.5258609,SÆTRE,06,BUSKERUD,0628,HURUM,G,Gateadresser og stedsadresser,59.6815430,10.5270050
sorumsand,135032.666,378,Open,1920,Sørumsand,59.98717;11.24458,SØRUMSAND,02,AKERSHUS,0226,SØRUM,G,Gateadresser og stedsadresser,59.9828700,11.2419100
tofte,81790.88100000001,397,Open,3482,Tofte,59.54179;10.558800,TOFTE,06,BUSKERUD,0628,HURUM,G,Gateadresser og stedsadresser,59.5414710,10.5575180
vestby,302817.854,351,Open,1540,Vestby,59.60398;10.74317,VESTBY,02,AKERSHUS,0211,VESTBY,G,Gateadresser og stedsadresser,59.6018120,10.7493710
vinterbro,502423.486,338,Open,1407,Vinterbro,59.7397965;10.7666609,VINTERBRO,02,AKERSHUS,0214,ÅS,G,Gateadresser og stedsadresser,59.7392900,10.7705900
ytre enebakk,108066.867,415,Open,1914,Ytre Enebakk,59.7239822;11.0503022,YTRE ENEBAKK,02,AKERSHUS,0229,ENEBAKK,G,Gateadresser og stedsadresser,59.7216000,11.0567000
arnes,197477.66399999993,176,Open,2150,Årnes,60.1226555;11.4678998,ÅRNES,02,AKERSHUS,0236,NES,G,Gateadresser og stedsadresser,60.1239160,11.4659930
as,167477.532,418,Open,1430,Ås,59.66468;10.79081,ÅS,02,AKERSHUS,0214,ÅS,G,Gateadresser og stedsadresser,59.6601540,10.7931030
"drammen, bragernes",291873.193,205,Open,3016,Drammen,59.745742;10.202855,DRAMMEN,06,BUSKERUD,0602,DRAMMEN,G,Gateadresser og stedsadresser,59.7488300,10.2051700
