...1,2023,2024,Liter,Prosent
Arendal,683832.6190000001,657340.107,-26492.512000000104,-0.038741223018494385
Svakvin,571218.8250000001,544864.021,-26354.80400000012,-0.04613784218333511
Rødvin,279088.997,261182.642,-17906.35499999998,-0.06416001774516386
Hvitvin,188370.663,182146.763,-6223.899999999994,-0.033040707618043445
Musserende vin,55208.175,53194.675,-2013.5,-0.036471047992439526
Rosévin,36626.692,35889.983,-736.7090000000026,-0.020113992276452445
Perlende vin,5576.15,5351.85,-224.29999999999927,-0.04022488634631408
Aromatisert vin,4506.518,4828.898,322.3800000000001,0.07153638352271091
Sider,1786.555,2056.51,269.95500000000015,0.15110366039668532
Fruktvin,55.075,212.7,157.625,2.862006354970495
Brennevin,85825.11,82562.315,-3262.7949999999983,-0.03801678786080202
Vodka,20941.75,20756,-185.75,-0.008869841345637303
Likør,17848.86,17064.49,-784.369999999999,-0.0439451034968059
Whisky,10025.65,10271.09,245.4400000000005,0.024481205707360672
Akevitt,9594.19,8198.85,-1395.3400000000001,-0.14543593570692265
"Brennevin, annet",7833.61,7786.495,-47.11499999999978,-0.006014468425157722
Gin,6368.15,6074.47,-293.6799999999994,-0.04611700415348247
Druebrennevin,5824.7,5239.4,-585.3000000000002,-0.10048586193280344
"Brennevin, nøytralt < 37,5 %",3304.3,3192.9,-111.40000000000009,-0.03371364585540056
Rom,1919.55,1965.15,45.600000000000136,0.02375556771118238
Bitter,1435.2,1242.07,-193.1300000000001,-0.13456661092530664
Fruktbrennevin,519.15,609.7,90.55000000000007,0.17441972454974491
Genever,210,161.7,-48.30000000000001,-0.23000000000000007
Øl,16313.329,18641.196,2327.867,0.14269723855872704
Alkoholfritt,6565.880000000001,7316.2750000000005,750.3949999999995,0.11428704149329555
Sterkvin,3909.475,3956.3,46.82500000000027,0.011977311531599581
Brokelandsheia,202149.44000000003,202000.73,-148.71000000002095,-7.356438880069167e-4
Svakvin,168668.20200000002,168116.53000000003,-551.6719999999914,-0.003270752835795281
Rødvin,84032.081,83429.703,-602.3780000000115,-0.007168428924186841
Hvitvin,55758.712,55275.661,-483.0509999999995,-0.008663238132186401
Musserende vin,13435.275,13787.625,352.35000000000036,0.02622573784310335
Rosévin,12271.397,12417.781,146.38400000000001,0.01192887818721862
Perlende vin,1500.6,1388.1,-112.5,-0.07497001199520192
